doc_id,doc_type,structure,title,doc_chars,n_chunks,avg_chunk_chars,max_chunk_chars
hana_desc_deposit_002,설명서,article,『청년 주택드림 청약통장』 요약 상품설명서,14150,39,381,895
hana_desc_deposit_004,설명서,flat,『골드·실버바(한국금거래소)』 상품설명서,2199,6,432,486
hana_desc_deposit_005,설명서,flat,『골드바(한국조폐공사)』 상품설명서,2083,5,480,496
hana_desc_deposit_006,설명서,flat,『하나 빌리언달러 통장』 요약 상품설명서,4988,13,457,499
hana_desc_deposit_007,설명서,flat,『하나 보증서담보대출 입금전용계좌』상품설명서,3767,10,448,493
hana_desc_deposit_008,설명서,article,『하나 부가가치세 매입자 납부전용계좌』 요약 상품설명서,7544,23,362,499
hana_desc_deposit_009,설명서,flat,『하나더소호 가맹점 적금』 요약 상품설명서,5309,13,482,499
hana_desc_deposit_010,설명서,clause,『주택청약예금』 요약 상품설명서,4631,13,398,500
hana_desc_deposit_011,설명서,clause,『주택청약부금』 요약 상품설명서,4458,11,445,636
hana_desc_deposit_012,설명서,clause,『주택청약저축』 요약 상품설명서,5488,14,419,497
hana_desc_deposit_013,설명서,clause,『주택청약종합저축』 요약 상품설명서,6822,16,450,527
hana_desc_deposit_015,설명서,flat,『나라사랑 하나통장』 요약 상품설명서,5348,14,456,499
hana_desc_deposit_016,설명서,numbered,『사업자 주거래 우대통장』 상품설명서,3572,10,412,500
hana_desc_derivatives_001,설명서,flat,장외파생상품설명서,12698,32,473,500
hana_desc_derivatives_002,설명서,flat,장외파생상품설명서,7720,19,481,500
hana_desc_derivatives_003,설명서,flat,장외파생상품설명서,7659,20,458,500
hana_desc_derivatives_004,설명서,flat,장외파생상품설명서,7678,19,479,499
hana_desc_derivatives_005,설명서,flat,장외파생상품설명서,7954,20,473,500
hana_desc_derivatives_006,설명서,flat,장외파생상품설명서,7952,20,473,500
hana_desc_derivatives_007,설명서,flat,장외파생상품설명서,7570,19,474,499
hana_desc_derivatives_008,설명서,flat,장외파생상품설명서,7589,19,474,499
hana_desc_derivatives_009,설명서,flat,장외파생상품설명서,10402,26,476,496
hana_desc_derivatives_010,설명서,flat,장외파생상품설명서,10417,26,477,495
hana_desc_derivatives_011,설명서,flat,장외파생상품설명서,10067,25,479,500
hana_desc_derivatives_012,설명서,flat,장외파생상품설명서,10124,25,481,501
hana_desc_derivatives_013,설명서,flat,장외파생상품설명서,12514,31,480,500
hana_desc_derivatives_014,설명서,flat,장외파생상품설명서,12550,32,469,495
hana_desc_digital_banking_001,설명서,numbered,『기업전자금융』 서비스 설명서,3233,8,423,657
hana_desc_digital_banking_002,설명서,flat,『기업 QR 결제 서비스』 설명서,2005,5,464,481
hana_desc_digital_banking_003,설명서,flat,『해외 ATM 출금 서비스』 설명서,2482,6,480,499
hana_desc_digital_banking_004,설명서,flat,『하나 합(마이데이터 서비스)』 설명서,1590,4,457,501
hana_desc_digital_banking_005,설명서,flat,『제휴사 해외 ATM 출금 서비스』 설명서,2775,7,464,498
hana_desc_fx_001,설명서,flat,『easy-one 외화송금서비스』 상품설명서,2096,5,483,499
hana_desc_fx_002,설명서,flat,『개인뱅킹 환전지갑 서비스 설명서』,2267,6,444,500
hana_desc_fx_003,설명서,flat,『고객센터 환전지갑 서비스 설명서』,2135,6,422,500
hana_desc_fx_004,설명서,flat,『하나-웨스턴유니온 월렛송금』 서비스 설명서,1545,4,445,487
hana_desc_fx_005,설명서,flat,『하나원큐기업 환전지갑 서비스 설명서』,1364,4,400,488
hana_desc_fx_006,설명서,numbered,『환전지갑 목표환율 자동환전 서비스』 설명서,3590,9,416,592
hana_desc_fx_007,설명서,numbered,『환전지갑 선물하기 서비스』 설명서,2259,6,375,621
hana_desc_fx_008,설명서,clause,『제휴 환전지갑 서비스 설명서』,2351,6,431,501
hana_desc_loan_001,설명서,article,보금자리론 설명서,21416,58,424,548
hana_desc_loan_002,설명서,article,CD수익률 설명서 (여신거래용),10265,28,397,735
hana_desc_loan_003,설명서,article,(은행보관용) 대출 상품설명서(권유용),21937,62,410,498
hana_desc_loan_004,설명서,article,주택도시기금대출(가계용) 상품설명서,7986,22,406,860
hana_desc_loan_005,설명서,article,가계대출 상품설명서,39292,101,440,785
hana_desc_loan_006,설명서,article,가계대출 상품설명서,39960,104,436,744
hana_desc_loan_007,설명서,article,기업대출 상품설명서,37020,92,453,812
hana_desc_loan_008,설명서,article,전세자금대출 상품설명서,41874,113,423,806
hana_desc_loan_009,설명서,article,주택연금 사전예약 보금자리론 설명서,22266,60,426,565
hana_desc_loan_010,설명서,article,주택담보대출 상품설명서,41564,106,446,815
hana_desc_loan_011,설명서,article,내집마련 디딤돌 대출 상품설명서,8398,21,445,858
hana_desc_others_001,설명서,numbered,『하나 화상상담데스크』 서비스 설명서,1275,3,424,492
hana_desc_others_002,설명서,flat,「예금 토큰」 설명서,2720,7,456,499
hana_desc_retirement_pension_001,설명서,clause,개인형IRP 핵심설명서,9204,28,385,501
hana_desc_retirement_pension_002,설명서,numbered,『하나은행 디폴트옵션 안정형 포트폴리오』 상품설명서,15119,43,403,495
hana_desc_retirement_pension_003,설명서,numbered,『하나은행 디폴트옵션 안정투자형 포트폴리오 1』 상품설명서,16325,46,408,527
hana_desc_retirement_pension_004,설명서,numbered,『하나은행 디폴트옵션 안정투자형 포트폴리오 2』 상품설명서,16217,44,420,539
hana_desc_retirement_pension_005,설명서,numbered,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 상품설명서,15667,41,432,856
hana_desc_retirement_pension_006,설명서,numbered,『하나은행 디폴트옵션 적극투자형 포트폴리오 1』 상품설명서,15333,41,424,856
hana_desc_retirement_pension_007,설명서,numbered,『하나은행 디폴트옵션 중립투자형 포트폴리오 1』 상품설명서,16215,44,420,527
hana_desc_retirement_pension_008,설명서,numbered,『하나은행 디폴트옵션 중립투자형 포트폴리오 2』 상품설명서,16303,44,418,732
hana_desc_retirement_pension_009,설명서,numbered,『하나은행 디폴트옵션 중립투자형 포트폴리오 3』 상품설명서,16185,44,419,538
hana_desc_retirement_pension_010,설명서,article,퇴직연금 이율보증형보험 상품설명서(핵심/요약),4733,11,473,714
hana_desc_trust_001,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (AI 최고위험),7695,20,412,776
hana_desc_trust_002,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (AI 고위험),7703,20,412,785
hana_desc_trust_003,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (AI 저위험),7729,20,413,795
