id,group,difficulty,doc_type,question,decision,ragas_faithfulness,supported,judged,ragas_answer_relevancy,noncommittal,ragas_context_precision,n_context,n_useful,context_verdicts,human_환각,human_상품일치,human_수치정확,v2_환각,v2_상품일치,v2_수치정확,unsupported_reasons,error
02,정상 답변,easy,설명서,제휴사 해외 ATM 출금 서비스에서 특정 제휴사 환율 적용 방식은 무엇인가요?,answer,1.0,2,2,0.9454835263365129,False,1.0,3,2,1:useful(근거 1은 제휴사 해외 ATM 출금 서비스에서 특정 제휴사 환율 적용 방식을 구체적으로 설) | 2:useful(근거 2는 근거 1의 내용을 이어받아 특정 제휴사가 지정한 환율을 적용한다는 점을 다시 언) | 3:not(근거 3은 해외 ATM 출금 서비스의 이용한도와 환율 적용 시 예시 금액을 제시하고 있으나),pass,pass,na,pass,pass,pass,,
03,정상 답변,hard,설명서,"상속으로 집을 받았는데 그 집이 수도권 밖 85㎡ 이하 단독주택일 때, 다른 지역으로 이사 가면 어떤 상황이 되나요?",answer,0.8571428571428571,6,7,0.8941783751636249,False,1.0,3,1,"1:useful(근거 1은 상속으로 취득한 85㎡ 이하 단독주택이 수도권 밖에 있을 때, 해당 주택 건설지) | 2:not(근거 2는 전환특약 이행 후 추가 주택 보유 시 처분기한과 관련된 내용으로, 상속으로 받은) | 3:not(근거 3은 전세자금대출과 관련된 가산금리 및 기한이익 상실 조건에 관한 내용으로, 상속받은)",fail,fail,fail,pass,fail,pass,근거 1 제3항에 따르면 상속인이 다른 주택 건설지역으로 이주한 경우에도 피상속인의 거주를 상속인의 거주로 보기 때문에 거주 요건이 충족되지 않,
05,정상 답변,medium,FAQ,하나은행 인터넷뱅킹에서 1천만원 넘게 이체하려면 어떻게 해야 하나요?,answer,1.0,7,7,0.9108294248550197,False,0.5833333333333333,3,2,"1:not(근거 1은 인터넷뱅킹 이체성 거래 정지 해제 방법에 관한 내용으로, 1천만원 넘게 이체하는) | 2:useful(근거 2는 인터넷뱅킹 이체한도 확인 및 증액 방법에 대해 구체적으로 설명하고 있어, 1천만) | 3:useful(근거 3은 보안등급별 이체 한도와 1천만원 초과 이체 시 OTP 등록 필요성을 명확히 설명)",pass,pass,pass,pass,fail,pass,,
07,정상 답변,medium,약관,기업 대출할 때 원화 금리는 어떤 기준으로 정해지나요?,answer,1.0,8,8,0.8732771061161242,False,1.0,3,2,"1:useful(근거 1은 원화대출 고정금리 산정 기준에 대해 구체적으로 설명하고 있으며, 금리만기별 기준) | 2:useful(근거 2는 근거 1과 동일한 내용으로, 원화대출 고정금리 산정 기준과 산출 방법에 대해 구) | 3:not(근거 3은 자동화 평가, 신용평가, 채무조정 요청권 등에 관한 내용으로, 기업 대출 시 원)",pass,pass,pass,pass,pass,pass,,
08,정상 답변,easy,FAQ,폰뱅킹 신청 시 관공서 서류 제출 기준은?,answer,1.0,7,7,0.9127138940158813,False,1.0,3,2,"1:useful(근거 1은 폰뱅킹 신청 시 관공서 서류 제출 기준에 대해 구체적으로 설명하고 있으며, 관공) | 2:useful(근거 3은 폰뱅킹 신청 시 필요한 서류를 상세히 안내하고 있으며, 법인 신청 시 관공서 서) | 3:not(근거 2는 폰뱅킹 신청 시 제출 가능한 서류 목록을 제시하지만, 관공서 서류 제출 기준(예)",pass,pass,pass,pass,na,pass,,
09,정상 답변,easy,설명서,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 운용방법 변경 시 가입자가 선택할 수 있는 조치는 무엇인가요?,answer,0.6666666666666666,2,3,0.9153220835320078,False,1.0,3,3,"1:useful(근거 1은 운용방법 변경 시 가입자에게 변경 사실을 통지하고, 가입자가 희망하지 않을 경우) | 2:useful(근거 2는 근거 1과 동일한 내용을 포함하고 있어 운용방법 변경 시 가입자가 선택할 수 있) | 3:useful(근거 3도 동일한 내용을 포함하며, 가입자가 운용방법 변경 통지를 받고 원하지 않을 경우 )",pass,pass,pass,pass,pass,pass,"근거들에는 포트폴리오 운용방법이 변경될 수 있다는 일반적 내용은 있으나, 『하나은행 디폴트옵션 안정투자형 포트폴리오 3』의 구체적 변경 여부에 ",
10,정상 답변,hard,설명서,대출받은 뒤에 원금은 안 내고 이자만 낼 수 있는 기간이 있나요?,answer,0.6,3,5,0.9092256425813957,False,0.3333333333333333,3,1,"1:not(근거 1은 대출 연체 시 연체이자 납부에 관한 내용으로, 원금 상환 없이 이자만 낼 수 있) | 2:not(근거 2도 근거 1과 동일하게 연체 시 연체이자 납부에 관한 내용으로, 원금 상환 없이 이) | 3:useful(근거 3은 대출 상환 방식 중 만기 일시상환 방식에 대해 설명하며, 일정 기간 동안 원금 )",pass,pass,na,fail,fail,pass,근거들 중 보금자리론에서 원금 상환 없이 이자만 납부하는 기간에 대한 별도 규정이 있다는 내용이 없으므로 진술 4는 근거로 지지되지 않음. | 근거들 중 주택연금 사전예약 보금자리론에서 원금 상환 없이 이자만 납부하는 기간에 대한 별도 규정이 있다는 내용이 없으므로 진술 5는 근거로 지,
11,정상 답변,hard,약관,내가 가입할 때 다른 사람 정보를 써서 신청하면 계약을 바로 끊나요?,answer,0.6,3,5,0.9011606449229825,False,0.8333333333333333,3,2,"1:useful(근거 1은 타인의 정보를 이용해 가입신청을 하는 경우 이용계약을 해지할 수 있다고 명확히 ) | 2:not(근거 2는 연락처 이체 취소 사유에 관한 내용으로, 가입 신청 시 타인 정보 사용과 계약 ) | 3:useful(근거 3은 가입신청과 이용계약 체결 절차 및 가입신청 거부 사유를 다루고 있어, 타인 정보)",fail,pass,na,fail,fail,na,"근거 1 제11조 ④에 이의를 신청할 수 있는 주체는 이용자이며, 은행이 이의를 신청할 수 있다는 내용은 없음. | 근거 3 제3조 ②항에 타인의 정보를 써서 가입신청하는 경우 계약이 체결되지 않을 수 있다는 내용은 없고, 해지에 관한 내용도 없음.",
12,정상 답변,medium,FAQ,내가 자급제폰에 안드로이드 10 쓰는데 스마트 간편인증이 안 돼요. 어떻게 해야 하나요?,answer,1.0,9,9,0.9488824149830606,False,1.0,3,2,"1:useful(근거 1은 자급제폰에 안드로이드 10을 사용하는 경우 스마트 간편인증이 안 되는 문제와 해) | 2:useful(근거 2는 자급제폰과 안드로이드 10 이상에서 스마트 간편인증이 안 되는 이유(USIM 정) | 3:not(근거 3은 간편인증의 개념과 이용 방법에 대해 설명하지만, 자급제폰이나 안드로이드 10에서)",pass,pass,pass,pass,na,pass,,
13,정상 답변,medium,설명서,주택청약종합저축 가입하고 청약 1순위 되려면 어느 정도 기간과 납입횟수가 필요한가요?,answer,0.9166666666666666,11,12,0.9107909271046788,False,1.0,3,2,"1:useful(근거 1은 주택청약종합저축 가입 후 청약 1순위가 되기 위한 기간과 납입횟수를 구체적으로 ) | 2:useful(근거 2는 민영주택 청약 1순위 산정 기준으로 가입 후 경과 기간과 예치기준금액 충족 조건) | 3:not(근거 3은 기존 청약저축 등에서 전환 시 납입횟수 인정 기준에 관한 내용으로, 질문에서 묻)",pass,pass,pass,pass,pass,pass,근거에 주택청약종합저축 가입 필요성에 대한 직접적 언급이 없음.,
15,정상 답변,easy,FAQ,종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,answer,1.0,1,1,0.947833230356252,False,1.0,3,1,1:useful(근거 1은 종합부동산세가 국세임을 명확히 답변하고 있어 질문에 직접적으로 유용하다.) | 2:not(근거 2는 공과금 납부 시간에 관한 내용으로 종합부동산세가 국세인지 지방세인지에 대한 정보) | 3:not(근거 3은 금융상품의 중도해지 및 과세 관련 내용으로 종합부동산세의 국세/지방세 여부와 관),pass,pass,na,pass,na,pass,,
16,정상 답변,easy,설명서,기업대출 자금용도별 구분에는 어떤 항목들이 포함되나요?,answer,1.0,15,15,0.9133817437440658,False,1.0,3,3,"1:useful(근거 1은 기업대출 자금용도별 구분에 대해 명확히 운전자금대출과 시설자금대출로 구분하고, ) | 2:useful(근거 2는 기업대출 자금용도별 구분을 운전자금대출과 시설자금대출로 제시하고, 각 용도별 구) | 3:useful(근거 3은 근거 1과 동일하게 기업대출 자금용도별 구분을 운전자금대출과 시설자금대출로 명확)",pass,pass,na,pass,pass,pass,,
23,커버리지 경계,,,정기예금을 중도해지하면 이자는 어떻게 계산되나요?,answer,1.0,6,6,0.9344976472517409,False,1.0,3,3,"1:useful(근거 1은 정기예금을 중도해지할 때 이자를 가입일부터 해지일 전일까지 약정금리로 계산하여 ) | 2:useful(근거 2는 중도해지금리 산정 방식과 차등율, 경과율에 따른 이자 계산 방법을 구체적으로 설) | 3:useful(근거 3은 만기일 전까지 기간에 대해 약정금리로 이자를 계산하는 방법과 일부 해지 시 중도)",fail,fail,fail,pass,fail,pass,,
24,커버리지 경계,,,자유적금 만기 전에 해지하면 우대금리는 어떻게 되나요?,answer,1.0,2,2,0.8839050670827203,False,0.5,3,1,"1:not(근거 1은 대출 만기 및 채무인수 관련 내용으로, 자유적금 만기 전 해지 시 우대금리 적용) | 2:useful(근거 2는 자유적립식 적금의 우대금리 조건과 중도해지 시 우대금리가 미적용됨을 명확히 설명) | 3:not(근거 3은 계약 변경, 해지 및 투자일임재산 관련 일반 약관 내용으로, 자유적금 만기 전 )",pass,fail,pass,pass,fail,pass,,
25,커버리지 경계,,,소득공제 장기펀드를 5년 안에 중간에 해지하면 세금이 얼마나 나와요?,answer,0.75,3,4,0.9452408511468625,False,1.0,3,1,"1:useful(근거 1은 소득공제 장기펀드를 5년 미만에 중도 해지할 경우 6.6%의 추징세액이 부과된다) | 2:not(근거 2는 소득공제 장기펀드의 소득공제 요건과 대상 금액에 관한 내용으로, 중도 해지 시 ) | 3:not(근거 3은 환매 가능 여부에 관한 내용으로, 중도 해지 시 세금 부과에 관한 정보가 없어 )",pass,pass,pass,pass,pass,pass,"근거 1에서는 소득공제를 받지 않았거나 추징금액이 연말정산 소득공제 금액보다 많을 경우 환출 가능하다고 했으나, 소득공제를 받지 않은 경우 추징",
