id,question,difficulty,doc_type,extracted_product,why,class,is_real,memo
01,하나은행 이자율 스왑 상품의 위험등급과 손실범위는 어떻게 되나요?,easy,설명서,,질문 상품 '이자율 스왑 상품' 과 일치하는 근거 문서 없음,D,False,근거 문서가 이자율 스왑 설명서로 질문에 직접 답한다. mismatch가 아니라 Query Analyzer가 질문의 상품명/서비스명을 추출하지 못한 평가기 한계다.
02,하나일임형ISA 저위험포커스 모델포트폴리오가 포함한 금융상품은 원금보장이 되나요?,easy,설명서,,질문 상품 외 문서 혼합: 하나은행 ISA 모델포트폴리오,D,False,저위험_포커스 ISA 모델포트폴리오 설명서가 직접 근거다. 일부 비교 문서가 함께 잡혔지만 핵심 답변은 정확한 상품 문서에 기반하므로 상품명 추출/매칭 한계로 본다.
03,해외 출국 전 하나은행 전자금융사기예방서비스 설정은 어떻게 해야 하나요?,easy,FAQ,,질문 상품 '하나은행 전자금융사기예방서비스' 과 일치하는 근거 문서 없음,D,False,"전자금융사기예방서비스 별도 상품설명서는 없더라도, 해외 출국 전 설정 FAQ가 질문에 직접 답한다. 따라서 코퍼스 밖 실패(A)가 아니라 FAQ/서비스명 매칭을 못 한 평가기 한계다."
04,하나은행 예금 거래는 보통 어디에서 하나요?,medium,약관,,상품 언급 없음이나 서로 다른 상품 2건 혼합,B,True,예금거래 기본약관의 약관 비치·교부 조항과 사업자 주거래 우대통장 거래채널을 일반 예금거래 장소처럼 섞었다. 서로 다른 문서의 의미를 합성한 진짜 실패다.
05,하나은행 카드로 해외에서 현지 돈을 찾으려면 어떤 서비스가 있나요?,medium,FAQ,,질문 상품 '하나은행 카드' 과 일치하는 근거 문서 없음,D,False,카드 상품설명서는 없지만 국가간 ATM 서비스 FAQ와 해외 ATM 출금 서비스 설명서가 질문에 답할 수 있다. ‘하나은행 카드’를 별도 카드 상품으로 오해한 상품명/서비스명 추출 한계로 본다.
06,은행이 돈을 다 갚으라고 통보를 늦게 하면 저는 언제부터 바로 갚아야 하나요?,hard,약관,,상품 언급 없음이나 서로 다른 상품 2건 혼합,C,False,대출 약관의 기한이익 상실 통지 조항이 질문에 직접 답한다. 상품명이 없는 약관 공통 규정이라 이름 대조가 성립하지 않아 생긴 평가기 한계다.
07,"상속으로 집을 받았는데 그 집이 수도권 밖 85㎡ 이하 단독주택일 때, 다른 지역으로 이사 가면 어떤 상황이 되나요?",hard,설명서,,상품 언급 없음이나 서로 다른 상품 2건 혼합,B,True,청년 주택드림 청약통장의 주택 보유 예외 조항과 보금자리론/대출거래약정서의 처분의무·기한이익상실을 논리적 연결 없이 결합했다. Cross-document contamination에 해당한다.
08,저축예금 통장에 사기 의심이 생기면 거래가 어떻게 제한돼요?,medium,약관,,질문 상품 '저축예금 통장' 과 일치하는 근거 문서 없음,C,False,입출금이 자유로운 예금약관의 저축예금 관련 조항이 질문에 직접 답한다. 약관 문서명과 질문 상품명 대조가 잘 안 되는 평가기 한계다.
09,"월급이 7000만 원 이하이고 집이 없는데, 다음 해 2월 말까지 어떤 서류를 은행에 내야 소득공제를 받을 수 있나요?",hard,설명서,,상품 언급 없음이나 서로 다른 상품 2건 혼합,D,False,"질문에 상품명이 명시되지 않았고, 청년 주택드림 청약통장과 주택청약종합저축 모두 무주택확인서 제출 요건을 뒷받침한다. 서로 충돌하는 규정을 섞은 실패라기보다 상품명 부재/추출 한계다."
10,내가 가입할 때 다른 사람 정보를 써서 신청하면 계약을 바로 끊나요?,hard,약관,,상품 언급 없음이나 서로 다른 상품 2건 혼합,C,False,"마이데이터서비스 이용약관은 질문의 가입신청·해지 맥락에 직접 관련된다. 답변의 즉시성 단정은 G 품질 문제지만, 상품 불일치 분류에서는 약관명 대조 한계(C)로 본다."
11,주택청약저축에서 선납한 금액은 언제 인정회차로 산정되나요?,easy,설명서,,질문 상품 외 문서 혼합: 주택청약종합저축,D,False,주택청약저축 설명서가 정확히 검색되어 있고 답변의 60회차·약정납입일 도래 내용은 해당 문서에 근거한다. 보조 문서가 함께 검색됐다는 이유만으로 B로 보기는 어렵다.
12,하나은행 인터넷뱅킹에서 1천만원 넘게 이체하려면 어떻게 해야 하나요?,medium,FAQ,,상품 언급 없음이나 서로 다른 상품 2건 혼합,D,False,인터넷뱅킹 이체한도 FAQ들이 질문에 직접 답한다. 상품명이 없는 FAQ성 업무질문을 상품 불일치로 오탐한 평가기 한계다.
13,대출받은 뒤에 원금은 안 내고 이자만 낼 수 있는 기간이 있나요?,hard,설명서,,상품 언급 없음이나 서로 다른 상품 3건 혼합,B,True,"일반 대출 질문에 보금자리론·주택연금 보금자리론·기업대출 문서를 한 문단에 섞고, 보금자리론에는 별도 규정이 없다고 부정 단정했다. 다른 상품/상품군 혼합으로 보는 것이 타당하다."
14,전세자금 대출할 때 배우자랑 합친 자산이 너무 많으면 우대금리 받을 수 없나요?,medium,약관,,질문 상품 외 문서 혼합: 주택도시기금대출(가계용) 상품설명서 제7조,D,False,주택도시기금 전세자금대출 및 대출거래약정서 근거가 질문에 직접 답한다. 질문의 상품군을 제대로 추출·정렬하지 못한 평가기 한계로 본다.
15,"돈 빌린 사람이 약속을 안 지켜서 은행이 보증인에게 알릴 때, 은행은 얼마나 빨리 알려야 하나요?",hard,약관,,상품 언급 없음이나 서로 다른 상품 2건 혼합,B,True,기업용 약관의 15영업일 규정과 가계용 약정서의 부재를 함께 비교해 일반 질문에 답했다. 고객군/약관군이 달라 실무상 혼동 가능성이 큰 진짜 혼합 실패로 본다.
16,제가 대출받을 때 알려준 집 보유 수가 사실과 다르면 대출에 문제가 생기나요?,hard,약관,,상품 언급 없음이나 서로 다른 상품 3건 혼합,D,False,보금자리론·주택담보대출 설명서가 주택 보유와 대출 제한/회수 가능성을 공통적으로 뒷받침한다. 특정 상품 불일치라기보다 일반 주택담보대출군 질문을 상품명 없이 처리한 평가기 한계다.
17,부부 합산 소득이 7천만원 넘으면 어떤 대출을 못 받나요?,hard,약관,,상품 언급 없음이나 서로 다른 상품 2건 혼합,D,False,보금자리론 설명서의 부부합산 연소득 7천만원 이하 요건이 질문에 직접 답한다. 상품명을 추출하지 못해 mismatch로 잡힌 평가기 한계다.
18,외화를 은행 외화통장에 넣으면 수수료가 어떻게 되나요?,hard,설명서,,질문 상품 '외화통장' 과 일치하는 근거 문서 없음,D,False,"외화보통예금 FAQ가 외화현찰 입출금 수수료를 직접 설명하고, 환전지갑 문서도 같은 외화계좌 입금 수수료 맥락을 보조한다. 핵심 근거가 적절하므로 상품명/서비스명 매칭 한계다."
19,은행이 서류를 잃어버리거나 다치게 하면 제가 가진 다른 증서로 빚을 갚아야 하나요?,hard,약관,,상품 언급 없음이나 서로 다른 상품 3건 혼합,C,False,여신거래 기본약관과 대출거래약정서의 사고 처리 공통 조항이 질문에 직접 답한다. 약관 공통 규정이라 상품명 대조가 불가능해 생긴 평가기 한계다.
20,외국인도 하나은행 인터넷뱅킹으로 해외송금하려면 어떻게 해야 해?,medium,FAQ,,질문 상품 외 문서 혼합: 인터넷을 통한 해외송금은 어떻게 하나요 ?,D,False,외국인 인터넷뱅킹 해외송금 FAQ와 일반 해외송금 FAQ가 질문에 직접 답한다. FAQ 업무질문을 상품명 불일치로 오탐한 평가기 한계다.
