question,stage,difficulty,doc_type,refusal_reason,llm_reason,n_evidence,top1,top_citation,분류
하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,retrieval,medium,설명서,low_confidence,,3,0.5917,『하나은행 디폴트옵션 안정투자형 포트폴리오 1』 상품설명서 주 (2026-04-01 시행),
하나은행 기업 인터넷뱅킹에서 급여 이체는 언제까지 할 수 있나요?,llm,medium,설명서,no_evidence,REFUSE — 급여 이체 마감시간 정보 없음,3,0.7168,추가약정서(가계대출 금리감면용) - 하나은행 3 (2026-06-30 시행),
대출일과 월 납입일이 다르면 첫 이자는 언제 내야 하나요?,retrieval,hard,설명서,low_confidence,,3,0.7175,내집마련 디딤돌 대출 상품설명서 제4조 (2026-01-01 시행),
환전 신청을 했는데 아직 처리 안 됐어요. 이럴 때 더 신청할 수 있나요?,retrieval,hard,설명서,low_confidence,,3,0.6755,『고객센터 환전지갑 서비스 설명서』 (2026-03-30 시행),
ISA 계약을 중간에 해지할 때 어떤 특별한 사유가 있어야 해지할 수 있나요?,llm,medium,설명서,no_evidence,ANSWERABLE — 부득이한 사유 해지 가능,3,0.7559,일임형 개인종합자산관리계좌(ISA) 계약권유문서 제12조 (2026-05-29 시행),
전세자금대출에서 중도상환해약금 산정 기준은 무엇인가요?,llm,easy,설명서,no_evidence,REFUSE — 중도상환해약금율이 공란,3,1.0,전세자금대출 상품설명서 제46조 (2025-01-13 시행),
은행에서 빌린 돈을 10일 넘게 못 갚으면 어떻게 되나요?,llm,hard,약관,no_evidence,REFUSE — 연체 시 조치 내용 없음,3,0.8555,은행여신거래 기본약관 - (가계용) 제10조(기한전의 임의 상환) (2024-10-17 시행),
사업자 주거래 우대통장 가입 후 최초 다음달까지 제공되는 수수료 우대서비스는 무엇인가요?,pattern,easy,설명서,time_variant,,0,,,
통장 없이 거래할 때 도장이나 서명은 꼭 제출해야 하나요?,llm,hard,약관,no_evidence,REFUSE — 도장·서명 제출 필요성만 일부 언급,3,0.9805,대출거래( )추가약정서 제11조(채무자로부터의 상계) (2023-02-28 시행),
전세자금대출 갚을 때 빚이 여러 개면 어떤 순서로 갚아요?,llm,medium,설명서,no_evidence,REFUSE — 상환 순서 내용 없음,3,1.0,전세자금대출 상품설명서 제36조 (2025-01-13 시행),
제가 13살인데 해외에서 계좌를 이용하려면 ATM에서 돈을 뺄 수 있나요?,llm,hard,설명서,no_evidence,REFUSE — 만 14세 이상만 이용 가능,3,0.9964,『해외 ATM 출금 서비스』 설명서 (2026-04-27 시행),
하나은행 내 계좌이체 시 보안매체나 공동인증서 사용 여부는?,pattern,easy,FAQ,personalized,,0,,,
"하나은행 디폴트옵션 중립투자형 포트폴리오 1 상품, 만기 전에 돈 찾으면 이자가 어떻게 돼요?",llm,medium,설명서,no_evidence,REFUSE — 만기 전 이자 관련 내용 없음,3,0.8117,『하나은행 디폴트옵션 중립투자형 포트폴리오 1』 상품설명서 4 (2026-04-01 시행),
하나은행 통해 마이데이터 정보 보내달라 할 땐 뭘 알려줘야 해?,llm,medium,약관,no_evidence,REFUSE — 구체 안내 내용 없음,3,0.8119,『하나 합(마이데이터 서비스)』 설명서 (2026-06-25 시행),
내 계좌에 돈이 부족하면 인터넷으로 돈 보내기가 안 되나요?,pattern,hard,약관,personalized,,0,,,
대출금을 제때 못 갚으면 집 팔고 남은 돈 더 내야 하나요?,llm,hard,설명서,no_evidence,REFUSE — 집 팔고 추가 상환 여부 불명,3,0.6539,주택담보대출 상품설명서 제36조 (2025-01-13 시행),
