query_id,question,difficulty,doc_type,category,hit_rank,failure_type,relevant_chunk_ids,top5_retrieved,top1_score,score_gap
q002,하나은행 입출금 예금 이율은 바뀌면 언제부터 적용돼요?,medium,약관,deposit,미발견,20위 밖,hana_terms_deposit_002_c007,hana_terms_loan_011_c041|hana_terms_loan_011_c042|hana_desc_deposit_006_c011|hana_terms_loan_017_c005|hana_terms_loan_011_c055,0.8981,0.0004
q009,하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,medium,설명서,retirement_pension,13,순위 낮음,hana_desc_retirement_pension_003_c039,hana_desc_retirement_pension_003_c005|hana_desc_retirement_pension_009_c005|hana_desc_retirement_pension_004_c005|hana_desc_retirement_pension_004_c008|hana_desc_retirement_pension_007_c029,0.9238,0.0016
q013,하나은행 기업 인터넷뱅킹에서 급여 이체는 언제까지 할 수 있나요?,medium,설명서,digital_banking,미발견,20위 밖,hana_desc_digital_banking_001_c007,hana_terms_loan_002_c006|hana_terms_loan_001_c005|hana_terms_loan_002_c005|hana_faq_159_c001|hana_terms_loan_001_c004,0.8981,0.0016
q014,하나은행 디폴트옵션 중립투자형 포트폴리오 1 상품 가입 후 따로 운용 방법 지시 안 하면 어떻게 돼요?,medium,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_007_c008,hana_desc_retirement_pension_007_c015|hana_desc_retirement_pension_007_c036|hana_desc_retirement_pension_009_c015|hana_desc_retirement_pension_008_c015|hana_desc_retirement_pension_009_c035,0.9459,0.0012
q015,하나은행 디폴트옵션 중립투자형 포트폴리오 2는 중간에 해지하면 원금 손실 가능성이 있나요?,medium,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_008_c022,hana_desc_retirement_pension_009_c031|hana_desc_retirement_pension_008_c014|hana_desc_retirement_pension_008_c041|hana_desc_retirement_pension_007_c035|hana_desc_retirement_pension_009_c014,0.9215,0.0009
q018,기업 대출할 때 원화 금리는 어떤 기준으로 정해지나요?,medium,약관,loan,미발견,20위 밖,hana_terms_loan_024_c007,hana_terms_loan_007_c023|hana_terms_loan_007_c010|hana_desc_loan_007_c049|hana_desc_loan_007_c003|hana_desc_loan_007_c068,0.8701,0.0
q027,하나은행에서 전자금융 거래 내역을 못 받을 때 은행이 어떻게 알려줘야 해?,medium,약관,digital_banking,7,순위 낮음,hana_terms_digital_banking_001_c029,hana_faq_094_c001|hana_faq_148_c001|hana_terms_loan_011_c066|hana_desc_others_001_c003|hana_terms_loan_011_c064,0.8999,0.0123
q034,하나은행 ISA 모델포트폴리오(최고위험_밸런스) 상품에서 중도해지 시 과세특례 추징이 발생하는 조건은 무엇인가요?,easy,설명서,trust,10,순위 낮음,hana_desc_trust_006_c013,hana_desc_trust_011_c016|hana_desc_trust_012_c016|hana_desc_trust_008_c016|hana_desc_trust_010_c016|hana_desc_trust_011_c007,0.9106,0.0011
q037,해외에서 돈 받을 때 해외 사람이 우리 은행에 보내려면 뭘 알려줘야 해?,medium,FAQ,fx,8,순위 낮음,hana_faq_120_c001,hana_faq_108_c001|hana_faq_198_c001|hana_faq_117_c001|hana_faq_105_c001|hana_terms_digital_banking_001_c018,0.8887,0.0122
q040,일임형 개인종합자산관리계좌(ISA) 계약 만료 후 수수료는 어떻게 처리됩니까?,easy,설명서,trust,18,순위 낮음,hana_desc_trust_013_c022,hana_desc_trust_013_c021|hana_desc_trust_013_c029|hana_desc_trust_013_c020|hana_desc_trust_013_c028|hana_desc_trust_013_c027,0.9271,0.0007
q051,통장 없이 거래할 때 도장이나 서명은 꼭 제출해야 하나요?,hard,약관,deposit,미발견,20위 밖,hana_terms_deposit_002_c003,hana_terms_loan_018_c032|hana_terms_loan_007_c045|hana_terms_loan_017_c026|hana_desc_loan_003_c046|hana_desc_loan_003_c018,0.8723,0.004
q053,최고위험 밸런스 포트폴리오 어떤 사람한테 맞아요?,medium,설명서,trust,13,순위 낮음,hana_desc_trust_006_c004,hana_desc_trust_001_c005|hana_desc_trust_012_c005|hana_desc_trust_005_c005|hana_desc_trust_011_c005|hana_desc_trust_010_c005,0.8844,0.0005
q056,전세자금대출 갚을 때 빚이 여러 개면 어떤 순서로 갚아요?,medium,설명서,loan,11,순위 낮음,hana_desc_loan_008_c073,hana_desc_loan_008_c072|hana_desc_loan_008_c059|hana_desc_loan_008_c088|hana_desc_loan_008_c103|hana_desc_loan_008_c097,0.8784,0.0002
q075,대출받은 뒤에 원금은 안 내고 이자만 낼 수 있는 기간이 있나요?,hard,설명서,loan,미발견,20위 밖,hana_desc_loan_009_c053,hana_desc_loan_008_c081|hana_desc_loan_006_c025|hana_terms_loan_011_c024|hana_terms_loan_011_c005|hana_terms_loan_016_c008,0.9011,0.0018
q077,하나은행 가계 대출할 때 인지세는 누가 부담해요?,medium,약관,loan,미발견,20위 밖,hana_terms_loan_011_c028,hana_desc_loan_006_c093|hana_desc_loan_005_c058|hana_desc_loan_005_c091|hana_desc_loan_005_c042|hana_desc_loan_006_c043,0.886,0.0013
q081,"돈 빌린 사람이 약속을 안 지켜서 은행이 보증인에게 알릴 때, 은행은 얼마나 빨리 알려야 하나요?",hard,약관,loan,미발견,20위 밖,hana_terms_loan_007_c041,hana_terms_loan_017_c016|hana_terms_loan_017_c017|hana_terms_loan_011_c044|hana_terms_loan_011_c053|hana_terms_loan_011_c063,0.8829,0.0002
q084,제가 대출받을 때 알려준 집 보유 수가 사실과 다르면 대출에 문제가 생기나요?,hard,약관,loan,미발견,20위 밖,hana_terms_loan_014_c010,hana_desc_loan_001_c006|hana_desc_loan_001_c003|hana_desc_loan_010_c060|hana_desc_loan_010_c007|hana_desc_loan_009_c003,0.8763,0.0003
q085,기업용 대출 연체했을 때 은행이 받는 지연이자는 어떻게 계산돼요?,medium,약관,loan,미발견,20위 밖,hana_terms_loan_018_c004,hana_desc_loan_003_c039|hana_desc_loan_003_c011|hana_desc_loan_003_c010|hana_desc_loan_003_c040|hana_desc_loan_003_c038,0.9011,0.0
q092,"하나은행 디폴트옵션 중립투자형 포트폴리오 1 상품, 만기 전에 돈 찾으면 이자가 어떻게 돼요?",medium,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_007_c028,hana_desc_retirement_pension_007_c035|hana_desc_retirement_pension_009_c014|hana_desc_retirement_pension_008_c014|hana_desc_retirement_pension_007_c032|hana_desc_retirement_pension_006_c013,0.9194,0.001
q094,하나은행 통해 마이데이터 정보 보내달라 할 땐 뭘 알려줘야 해?,medium,약관,digital_banking,미발견,20위 밖,hana_terms_digital_banking_002_c006,hana_desc_digital_banking_004_c004|hana_desc_digital_banking_004_c003|hana_terms_digital_banking_002_c001|hana_terms_digital_banking_002_c013|hana_desc_digital_banking_004_c001,0.9146,0.0119
q102,내 계좌에 돈이 부족하면 인터넷으로 돈 보내기가 안 되나요?,hard,약관,digital_banking,미발견,20위 밖,hana_terms_digital_banking_001_c017,hana_faq_102_c001|hana_terms_digital_banking_001_c012|hana_faq_105_c001|hana_faq_108_c001|hana_faq_089_c001,0.8751,0.0013
q108,대출금을 제때 못 갚으면 집 팔고 남은 돈 더 내야 하나요?,hard,설명서,loan,미발견,20위 밖,hana_desc_loan_001_c037,hana_terms_loan_016_c017|hana_terms_loan_007_c043|hana_terms_loan_019_c014|hana_terms_loan_015_c019|hana_terms_loan_016_c018,0.878,0.0018
q109,하나은행 디폴트옵션 안정형 포트폴리오의 투자원금 손실 가능성은 어떻게 설명되어 있나요?,easy,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_002_c021,hana_desc_retirement_pension_005_c025|hana_desc_retirement_pension_003_c026|hana_desc_retirement_pension_003_c038|hana_desc_retirement_pension_005_c002|hana_desc_retirement_pension_005_c022,0.9208,0.0001
