query_id,question,expected,refusal_type,score_top1,gap_1_2,gap_1_5,std_top5,blank_ratio,doc_concentration,top1_doc,top1_chunk
r001,제 연체 기록이 대출 연체 이자에 어떻게 영향을 미치나요?,refuse,personalized,0.6025,0.0,0.0399,0.0161,0.0,3,가계대출 상품설명서,hana_desc_loan_006_c043
r002,현재 기준금리는 얼마인가요?,refuse,time_variant,0.6144,0.0121,0.122,0.0545,0.0,4,(은행보관용) 대출 상품설명서(권유용),hana_desc_loan_003_c001
r003,오늘 만기일 적용 결제환율은 얼마인가요?,refuse,time_variant,1.0,0.1777,0.364,0.1321,0.0,1,장외파생상품설명서 - NDF(차액 결제 선물환) – 고객매도 / 고객매수,hana_desc_derivatives_004_c008
r005,인지세는 대출금액별로 얼마인가요?,refuse,blank_value,0.8205,0.0977,0.1541,0.0563,0.0,4,대출거래약정서 - (한국주택금융공사 채권유동화목적 보금자리론용 - 연계형,hana_terms_loan_013_c008
r006,이 상품은 우리 은행 내부 심사 기준에 어떻게 반영되나요?,refuse,out_of_scope,0.821,0.1558,0.321,0.1071,0.0,3,여신거래추가약정서,hana_terms_loan_020_c008
r008,하나은행과 타 은행의 해외송금 한도 차이는?,refuse,out_of_scope,0.824,0.0137,0.1727,0.0677,0.0,5,외국인도 인터넷뱅킹을 통해 해외송금 할 수 있나요?,hana_faq_117_c001
r009,특례금리 적용 기간 중 가산 금리는 몇 퍼센트인가요?,refuse,blank_value,0.9712,0.0814,0.3543,0.1317,0.8,3,대출거래약정서,hana_terms_loan_016_c002
r010,이번 주 CD수익률은 어떻게 되나요?,refuse,time_variant,0.9862,0.0,0.1248,0.0602,0.0,1,CD수익률 설명서 (여신거래용),hana_desc_loan_002_c016
r012,기타비용 항목과 금액은 어떻게 되나요?,refuse,blank_value,0.5,0.0,0.0018,0.0007,0.6,3,CD수익률 설명서 (여신거래용),hana_desc_loan_002_c010
r013,제 거래 중도해지 시 손실 예상 금액은?,refuse,personalized,0.9472,0.049,0.1251,0.0407,0.0,5,장외파생상품설명서 - 선물환(통화선도) – 고객매도 / 고객매수,hana_desc_derivatives_002_c013
r015,Enhanced Forward 계약 시 적용되는 금리 변동폭은 얼마인가요?,refuse,blank_value,0.8958,0.0203,0.2678,0.0961,0.2,2,장외파생상품설명서 - Enhanced Forward – 고객이 조건부로 ,hana_desc_derivatives_010_c008
r016,타 은행의 디폴트옵션 포트폴리오와 비교하면 이 상품의 장점은 무엇인가요?,refuse,out_of_scope,0.8341,0.0131,0.0374,0.0141,0.0,3,『하나은행 디폴트옵션 중립투자형 포트폴리오 2』 상품설명서,hana_desc_retirement_pension_008_c012
r017,현재 적용되는 대출 금리는 얼마인가요?,refuse,time_variant,0.5268,0.0025,0.0641,0.0231,0.0,4,(은행보관용) 대출 상품설명서(권유용),hana_desc_loan_003_c001
r018,연체가산율은 몇 퍼센트로 정해지나요?,refuse,blank_value,0.9752,0.1708,0.1985,0.0751,0.0,4,보금자리론 설명서,hana_desc_loan_001_c029
r020,제 개인 신용등급으로 이 상품을 이용해도 위험이 큰가요?,refuse,personalized,0.5,0.0,0.0055,0.0025,0.0,4,가계대출 상품설명서,hana_desc_loan_006_c089
r021,타 은행 전세자금대출과 비교해 금리 차이는?,refuse,out_of_scope,0.8513,0.0045,0.1693,0.0759,0.2,2,전세자금대출 상품설명서,hana_desc_loan_008_c084
r022,이 상품은 다른 은행의 신용대출 상품과 비교해 어떤 점이 우수한가요?,refuse,out_of_scope,0.747,0.0252,0.152,0.0666,0.0,2,가계대출 상품설명서,hana_desc_loan_006_c053
r023,제 신용등급과 거래내역을 고려한 CD 수익률은 얼마인가요?,refuse,personalized,1.0,0.0,0.1515,0.0737,0.0,1,CD수익률 설명서 (여신거래용),hana_desc_loan_002_c002
r024,다른 은행들의 CD수익률 산출 방식과 비교해 알려주세요.,refuse,out_of_scope,0.9967,0.0211,0.0941,0.0396,0.0,1,CD수익률 설명서 (여신거래용),hana_desc_loan_002_c014
r026,하나은행의 디폴트옵션 상품 심사 기준은 무엇인가요?,refuse,out_of_scope,0.7544,0.003,0.306,0.134,0.0,4,『하나은행 디폴트옵션 안정형 포트폴리오』 상품설명서,hana_desc_retirement_pension_002_c033
r027,타 은행의 청년주택청약통장과 금리 차이는?,refuse,out_of_scope,0.8965,0.0256,0.0895,0.0298,0.0,2,『청년 주택드림 청약통장』 요약 상품설명서,hana_desc_deposit_002_c013
r028,담보권 실행 시 발생하는 비용은 얼마인가요?,refuse,blank_value,0.5564,0.0303,0.0807,0.0273,0.8,4,주택연금 사전예약 보금자리론 설명서,hana_desc_loan_009_c013
r029,미성년자 예금 해지 시 신용등급 영향은?,refuse,out_of_scope,1.0,0.5402,0.7572,0.2718,0.0,5,"미성년자 명의의 예금(요구불/예·적금, 청약) 해지 시 또는 제신고는 어",hana_faq_008_c001
r030,이 상품의 신용 등급별 대출 심사 기준은 어떻게 되나요?,refuse,out_of_scope,0.7699,0.0,0.1822,0.0813,0.0,2,전세자금대출 상품설명서,hana_desc_loan_008_c042
r031,제가 고정금리 지급자로서 이 거래에서 받을 수 있는 최대 변동금리 수취액은 얼마인가요?,refuse,personalized,1.0,0.0619,0.2998,0.1119,0.0,3,장외파생상품설명서 - 이자율 스왑(고객 고정금리 수취),hana_desc_derivatives_008_c010
r032,이 추가약정서에서 적용되는 금리 감면율은 몇 퍼센트인가요?,refuse,blank_value,0.9565,0.0159,0.0941,0.0331,0.4,4,추가약정서 - (하나원큐 사잇돌대출 금리감면용),hana_terms_loan_004_c001
r033,대출거래 추가약정서에서 적용되는 고정금리 비율은 얼마인가요?,refuse,blank_value,0.7183,0.0303,0.1096,0.0472,0.2,3,대출거래약정서,hana_terms_loan_016_c005
r034,현재 대출금 이자율은 얼마인가요?,refuse,time_variant,0.5,0.0,0.1595,0.0719,0.0,4,세금우대 한도는 얼마인가요?,hana_faq_031_c001
r035,이용계약 해지 시 신용등급에 미치는 영향은?,refuse,out_of_scope,0.74,0.0,0.0653,0.0259,0.0,3,가계대출 상품설명서,hana_desc_loan_005_c035
r036,저는 사전지정운용방법 변경 통지를 받았나요?,refuse,personalized,1.0,0.0,0.1588,0.0648,0.0,3,『하나은행 디폴트옵션 중립투자형 포트폴리오 2』 상품설명서,hana_desc_retirement_pension_008_c032
r038,여신금액은 얼마로 설정되었나요?,refuse,blank_value,0.5511,0.0303,0.0582,0.0212,0.6,3,여신거래약정서(기업용),hana_terms_loan_024_c035
r039,제 개인 신용등급에 따른 대출 한도는?,refuse,personalized,0.8762,0.0,0.0918,0.0364,0.0,3,전세자금대출 상품설명서,hana_desc_loan_008_c099
r040,현재 대출 이자율은 얼마인가요?,refuse,time_variant,0.5,0.0,0.1437,0.0618,0.0,4,세금우대 한도는 얼마인가요?,hana_faq_031_c001
c001,기업전자금융 서비스에서 개인사업자가 ERP랑 연결하면 기본수수료가 얼마나 나와?,answer,answerable,1.0,0.4722,0.7088,0.2539,0.0,3,『기업전자금융』 서비스 설명서,hana_desc_digital_banking_001_c006
c002,일임형 개인종합자산관리계좌(ISA) 계약 만료 후 수수료는 어떻게 처리됩니까?,answer,answerable,1.0,0.1556,0.3402,0.1148,0.0,1,일임형 개인종합자산관리계좌(ISA) 계약권유문서,hana_desc_trust_013_c024
c003,폰뱅킹 신청 시 관공서 서류 제출 기준은?,answer,answerable,1.0,0.5255,0.8051,0.2708,0.0,2,폰뱅킹 신청/해지 신청 방법을 알려주세요.,hana_faq_200_c004
c004,마이데이터서비스 약관이 갑자기 바뀌면 은행이 어떻게 알려줘요?,answer,answerable,0.8119,0.0903,0.1718,0.0632,0.0,1,마이데이터서비스 이용약관,hana_terms_digital_banking_002_c015
c005,일임형 개인종합자산관리계좌(ISA) 가입 시 투자 가능한 위험등급 모델포트폴리오 제시 기준은 무엇인가요?,answer,answerable,0.9864,0.0764,0.6386,0.2697,0.0,2,일임형 개인종합자산관리계좌(ISA) 계약권유문서,hana_desc_trust_013_c011
c006,기업대출 자금용도별 구분에는 어떤 항목들이 포함되나요?,answer,answerable,0.9983,0.0191,0.5301,0.2005,0.0,2,기업대출 상품설명서,hana_desc_loan_007_c002
c007,하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,answer,answerable,0.5917,0.0085,0.033,0.0111,0.0,2,『하나은행 디폴트옵션 안정투자형 포트폴리오 1』 상품설명서,hana_desc_retirement_pension_003_c007
c008,하나은행 통해 마이데이터 정보 보내달라 할 땐 뭘 알려줘야 해?,answer,answerable,0.8119,0.0218,0.1965,0.0766,0.0,2,『하나 합(마이데이터 서비스)』 설명서,hana_desc_digital_banking_004_c001
c009,하나은행 ISA 모델포트폴리오(최고위험_밸런스) 상품에서 중도해지 시 과세특례 추징이 발생하는 조건은 무엇인가요?,answer,answerable,1.0,0.0118,0.1519,0.054,0.0,5,하나은행 ISA 모델포트폴리오 설명서 (중위험_밸런스) - (투자자보관용,hana_desc_trust_011_c013
