id,group,difficulty,doc_type,question,decision,ragas_faithfulness,supported,judged,ragas_answer_relevancy,noncommittal,human_환각,human_상품일치,human_수치정확,v2_환각,v2_상품일치,v2_수치정확,unsupported_reasons,error
02,정상 답변,easy,설명서,제휴사 해외 ATM 출금 서비스에서 특정 제휴사 환율 적용 방식은 무엇인가요?,answer,1.0,2,2,0.9454835263365129,False,pass,pass,na,pass,pass,pass,,
03,정상 답변,hard,설명서,"상속으로 집을 받았는데 그 집이 수도권 밖 85㎡ 이하 단독주택일 때, 다른 지역으로 이사 가면 어떤 상황이 되나요?",answer,0.8571428571428571,6,7,0.8941783751636249,False,fail,fail,fail,pass,fail,pass,근거 1 제3항에 따르면 상속인이 다른 주택 건설지역으로 이주한 경우에도 피상속인의 거주를 상속인의 거주로 보기 때문에 거주 요건이 충족되지 않,
05,정상 답변,medium,FAQ,하나은행 인터넷뱅킹에서 1천만원 넘게 이체하려면 어떻게 해야 하나요?,answer,1.0,7,7,0.9108294248550197,False,pass,pass,pass,pass,fail,pass,,
07,정상 답변,medium,약관,기업 대출할 때 원화 금리는 어떤 기준으로 정해지나요?,answer,1.0,8,8,0.8732771061161242,False,pass,pass,pass,pass,pass,pass,,
08,정상 답변,easy,FAQ,폰뱅킹 신청 시 관공서 서류 제출 기준은?,answer,1.0,7,7,0.9127138940158813,False,pass,pass,pass,pass,na,pass,,
09,정상 답변,easy,설명서,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 운용방법 변경 시 가입자가 선택할 수 있는 조치는 무엇인가요?,answer,0.6666666666666666,2,3,0.9153220835320078,False,pass,pass,pass,pass,pass,pass,"근거들에는 포트폴리오 운용방법이 변경될 수 있다는 일반적 내용은 있으나, 『하나은행 디폴트옵션 안정투자형 포트폴리오 3』의 구체적 변경 여부에 ",
10,정상 답변,hard,설명서,대출받은 뒤에 원금은 안 내고 이자만 낼 수 있는 기간이 있나요?,answer,0.6,3,5,0.9092256425813957,False,pass,pass,na,fail,fail,pass,근거들 중 보금자리론에서 원금 상환 없이 이자만 납부하는 기간에 대한 별도 규정이 있다는 내용이 없으므로 진술 4는 근거로 지지되지 않음. | 근거들 중 주택연금 사전예약 보금자리론에서 원금 상환 없이 이자만 납부하는 기간에 대한 별도 규정이 있다는 내용이 없으므로 진술 5는 근거로 지,
11,정상 답변,hard,약관,내가 가입할 때 다른 사람 정보를 써서 신청하면 계약을 바로 끊나요?,answer,0.6,3,5,0.9011606449229825,False,fail,pass,na,fail,fail,na,"근거 1 제11조 ④에 이의를 신청할 수 있는 주체는 이용자이며, 은행이 이의를 신청할 수 있다는 내용은 없음. | 근거 3 제3조 ②항에 타인의 정보를 써서 가입신청하는 경우 계약이 체결되지 않을 수 있다는 내용은 없고, 해지에 관한 내용도 없음.",
12,정상 답변,medium,FAQ,내가 자급제폰에 안드로이드 10 쓰는데 스마트 간편인증이 안 돼요. 어떻게 해야 하나요?,answer,1.0,9,9,0.9488824149830606,False,pass,pass,pass,pass,na,pass,,
13,정상 답변,medium,설명서,주택청약종합저축 가입하고 청약 1순위 되려면 어느 정도 기간과 납입횟수가 필요한가요?,answer,0.9166666666666666,11,12,0.9107909271046788,False,pass,pass,pass,pass,pass,pass,근거에 주택청약종합저축 가입 필요성에 대한 직접적 언급이 없음.,
15,정상 답변,easy,FAQ,종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,answer,1.0,1,1,0.947833230356252,False,pass,pass,na,pass,na,pass,,
16,정상 답변,easy,설명서,기업대출 자금용도별 구분에는 어떤 항목들이 포함되나요?,answer,1.0,15,15,0.9133817437440658,False,pass,pass,na,pass,pass,pass,,
23,커버리지 경계,,,정기예금을 중도해지하면 이자는 어떻게 계산되나요?,answer,1.0,6,6,0.9344976472517409,False,fail,fail,fail,pass,fail,pass,,
24,커버리지 경계,,,자유적금 만기 전에 해지하면 우대금리는 어떻게 되나요?,answer,1.0,2,2,0.8839050670827203,False,pass,fail,pass,pass,fail,pass,,
25,커버리지 경계,,,소득공제 장기펀드를 5년 안에 중간에 해지하면 세금이 얼마나 나와요?,answer,0.75,3,4,0.9452408511468625,False,pass,pass,pass,pass,pass,pass,"근거 1에서는 소득공제를 받지 않았거나 추징금액이 연말정산 소득공제 금액보다 많을 경우 환출 가능하다고 했으나, 소득공제를 받지 않은 경우 추징",
