query_id,question,difficulty,doc_type,category,hit_rank,failure_type,relevant_chunk_ids,top5_retrieved,top1_score,score_gap
q002,하나은행 입출금 예금 이율은 바뀌면 언제부터 적용돼요?,medium,약관,deposit,18,순위 낮음,hana_terms_deposit_002_c009,hana_terms_loan_011_c057|hana_desc_deposit_006_c011|hana_desc_retirement_pension_009_c033|hana_desc_retirement_pension_009_c011|hana_terms_loan_017_c007,0.8929,0.0018
q009,하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,medium,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_003_c021,hana_desc_retirement_pension_003_c007|hana_desc_retirement_pension_003_c030|hana_desc_retirement_pension_005_c005|hana_desc_retirement_pension_005_c026|hana_desc_retirement_pension_006_c005,0.9301,0.0006
q012,하나은행 CD 수익률은 누가 어떻게 정하는 거예요?,medium,설명서,loan,10,순위 낮음,hana_desc_loan_002_c003|hana_desc_loan_002_c004|hana_desc_loan_002_c006,hana_desc_loan_002_c019|hana_desc_loan_002_c005|hana_desc_loan_002_c015|hana_desc_loan_002_c014|hana_desc_loan_002_c028,0.866,0.0009
q013,하나은행 기업 인터넷뱅킹에서 급여 이체는 언제까지 할 수 있나요?,medium,설명서,digital_banking,미발견,20위 밖,hana_desc_digital_banking_001_c007,hana_terms_loan_002_c006|hana_terms_loan_001_c005|hana_faq_159_c001|hana_terms_loan_002_c005|hana_terms_loan_001_c001,0.9002,0.0011
q014,하나은행 디폴트옵션 중립투자형 포트폴리오 1 상품 가입 후 따로 운용 방법 지시 안 하면 어떻게 돼요?,medium,설명서,retirement_pension,미발견,20위 밖,hana_desc_retirement_pension_007_c009,hana_desc_retirement_pension_009_c038|hana_desc_retirement_pension_009_c016|hana_desc_retirement_pension_007_c038|hana_desc_retirement_pension_007_c016|hana_desc_retirement_pension_008_c038,0.9434,0.0
q015,하나은행 디폴트옵션 중립투자형 포트폴리오 2는 중간에 해지하면 원금 손실 가능성이 있나요?,medium,설명서,retirement_pension,19,순위 낮음,hana_desc_retirement_pension_008_c002,hana_desc_retirement_pension_008_c012|hana_desc_retirement_pension_008_c034|hana_desc_retirement_pension_008_c044|hana_desc_retirement_pension_007_c012|hana_desc_retirement_pension_009_c012,0.9176,0.0004
q018,기업 대출할 때 원화 금리는 어떤 기준으로 정해지나요?,medium,약관,loan,미발견,20위 밖,hana_terms_loan_024_c008,hana_terms_loan_007_c034|hana_terms_loan_007_c013|hana_desc_loan_007_c017|hana_desc_loan_007_c063|hana_desc_loan_007_c061,0.8717,0.0
q027,하나은행에서 전자금융 거래 내역을 못 받을 때 은행이 어떻게 알려줘야 해?,medium,약관,digital_banking,미발견,20위 밖,hana_terms_digital_banking_001_c035,hana_faq_094_c001|hana_terms_digital_banking_001_c029|hana_faq_148_c001|hana_terms_digital_banking_001_c034|hana_desc_others_001_c003,0.8999,0.0102
q037,해외에서 돈 받을 때 해외 사람이 우리 은행에 보내려면 뭘 알려줘야 해?,medium,FAQ,fx,10,순위 낮음,hana_faq_120_c001,hana_faq_108_c001|hana_terms_loan_024_c023|hana_faq_198_c001|hana_terms_digital_banking_001_c022|hana_faq_117_c001,0.8887,0.0112
q039,환전 신청을 했는데 아직 처리 안 됐어요. 이럴 때 더 신청할 수 있나요?,hard,설명서,fx,13,순위 낮음,hana_desc_fx_006_c003|hana_desc_fx_006_c004,hana_desc_fx_003_c006|hana_desc_fx_002_c006|hana_terms_digital_banking_001_c021|hana_desc_fx_005_c002|hana_desc_fx_003_c005,0.8845,0.0153
q040,일임형 개인종합자산관리계좌(ISA) 계약 만료 후 수수료는 어떻게 처리됩니까?,easy,설명서,trust,미발견,20위 밖,hana_desc_trust_013_c025,hana_desc_trust_013_c024|hana_desc_trust_013_c031|hana_desc_trust_013_c013|hana_desc_trust_013_c020|hana_desc_trust_013_c044,0.9258,0.0024
q048,은행에서 빌린 돈을 10일 넘게 못 갚으면 어떻게 되나요?,hard,약관,loan,10,순위 낮음,hana_terms_loan_018_c019|hana_terms_loan_018_c022,hana_terms_loan_017_c019|hana_terms_loan_017_c025|hana_terms_loan_007_c065|hana_desc_loan_008_c073|hana_desc_loan_008_c017,0.883,0.0009
q051,통장 없이 거래할 때 도장이나 서명은 꼭 제출해야 하나요?,hard,약관,deposit,미발견,20위 밖,hana_terms_deposit_002_c005,hana_terms_digital_banking_001_c034|hana_faq_029_c001|hana_terms_loan_007_c067|hana_terms_loan_017_c038|hana_terms_loan_018_c045,0.8657,0.0004
q053,최고위험 밸런스 포트폴리오 어떤 사람한테 맞아요?,medium,설명서,trust,미발견,20위 밖,hana_desc_trust_006_c003,hana_desc_trust_006_c005|hana_desc_trust_011_c005|hana_desc_trust_010_c005|hana_desc_trust_008_c005|hana_desc_trust_012_c005,0.8818,0.0002
q056,전세자금대출 갚을 때 빚이 여러 개면 어떤 순서로 갚아요?,medium,설명서,loan,10,순위 낮음,hana_desc_loan_008_c022,hana_desc_loan_008_c031|hana_desc_loan_008_c087|hana_desc_loan_008_c062|hana_desc_loan_008_c086|hana_desc_loan_008_c030,0.8788,0.0
q070,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 운용방법 변경 시 가입자가 선택할 수 있는 조치는 무엇인가요?,easy,설명서,retirement_pension,16,순위 낮음,hana_desc_retirement_pension_005_c009,hana_desc_retirement_pension_005_c029|hana_desc_retirement_pension_005_c008|hana_desc_retirement_pension_009_c032|hana_desc_retirement_pension_009_c010|hana_desc_retirement_pension_009_c033,0.9274,0.0
q075,대출받은 뒤에 원금은 안 내고 이자만 낼 수 있는 기간이 있나요?,hard,설명서,loan,미발견,20위 밖,hana_desc_loan_009_c056,hana_desc_loan_007_c068|hana_desc_loan_007_c022|hana_terms_loan_011_c034|hana_terms_loan_011_c007|hana_desc_loan_006_c077,0.9022,0.0
q077,하나은행 가계 대출할 때 인지세는 누가 부담해요?,medium,약관,loan,미발견,20위 밖,hana_terms_loan_011_c011,hana_terms_loan_016_c010|hana_terms_loan_007_c039|hana_terms_loan_007_c018|hana_terms_loan_011_c039|hana_terms_loan_011_c012,0.8905,0.0013
q079,전세자금 대출할 때 배우자랑 합친 자산이 너무 많으면 우대금리 받을 수 없나요?,medium,약관,loan,7,순위 낮음,hana_terms_loan_016_c027|hana_terms_loan_016_c028,hana_terms_loan_016_c029|hana_desc_loan_004_c016|hana_desc_loan_008_c058|hana_terms_loan_014_c022|hana_terms_loan_016_c030,0.9016,0.007
q081,"돈 빌린 사람이 약속을 안 지켜서 은행이 보증인에게 알릴 때, 은행은 얼마나 빨리 알려야 하나요?",hard,약관,loan,미발견,20위 밖,hana_terms_loan_007_c061,hana_terms_loan_011_c072|hana_terms_loan_018_c022|hana_terms_loan_018_c024|hana_terms_loan_017_c019|hana_terms_loan_007_c060,0.8793,0.0001
q084,제가 대출받을 때 알려준 집 보유 수가 사실과 다르면 대출에 문제가 생기나요?,hard,약관,loan,미발견,20위 밖,hana_terms_loan_014_c016,hana_desc_loan_010_c060|hana_desc_loan_001_c006|hana_desc_loan_001_c003|hana_desc_loan_010_c091|hana_desc_loan_010_c038,0.8772,0.0009
